T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,runtime_dmft_sec,solution_dir,status,error
0.02,0,0.5375,typ,0.5,0.5,0.03654585722353026,0.4971549379348539,-0.002845062065146065,0.6076255847533415,0.6054002042140045,0.9963375792672714,69,True,0.001964232560901656,0.1091005802154541,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_5_5__typ/dmft_solutions/T_0p02/U_0__Delta_0p5375__w1_0p5__typ,ok,
0.02,0,0.5375,typ,0.45,0.55,0.1235539600027525,0.5510145970204351,0.001014597020435049,0.6047483650661104,0.6012269083210989,0.9941769883997512,71,True,0.001964858192812531,0.1218037605285645,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_5_5__typ/dmft_solutions/T_0p02/U_0__Delta_0p5375__w1_0p45__typ,ok,
0.02,0,0.5375,typ,0.4,0.6,0.2004616359988714,0.59889819510422,-0.001101804895779934,0.5993531215901081,0.5934650816762007,0.990176008596925,52,True,0.001896999711254335,0.08511066436767578,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_5_5__typ/dmft_solutions/T_0p02/U_0__Delta_0p5375__w1_0p4__typ,ok,
0.02,0.1,0.5375,typ,0.5,0.5,0.08718714670156197,0.4964749561604654,-0.003525043839534558,0.6052331569810353,0.6031531327718952,0.9965632679155989,58,True,0.001929951526843694,0.08278727531433105,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_5_5__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p5375__w1_0p5__typ,ok,
0.02,0.1,0.5375,typ,0.45,0.55,0.1712954216263922,0.5515288344787856,0.001528834478785601,0.6022068260388018,0.5988181549592262,0.9943729115429235,47,True,0.001928968685705973,0.1085777282714844,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_5_5__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p5375__w1_0p45__typ,ok,
0.02,0.1,0.5375,typ,0.4,0.6,0.242225282606056,0.5992140723377267,-0.0007859276622732558,0.5968392267915199,0.5911707460714928,0.9905024997259317,53,True,0.001826422470758494,0.09378743171691895,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_5_5__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p5375__w1_0p4__typ,ok,
0.02,0.3,0.5375,typ,0.5,0.5,0.1812094242998028,0.5000284197612838,2.841976128376e-05,0.5860834867458975,0.5850273014758255,0.9981978928020371,31,True,0.001930209725849745,0.05229926109313965,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_5_5__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p5375__w1_0p5__typ,ok,
0.02,0.3,0.5375,typ,0.45,0.55,0.2536462877105221,0.5493746600240668,-0.0006253399759332812,0.5833447582854506,0.5814278472865486,0.9967139312187596,47,True,0.001996676294323813,0.07938528060913086,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_5_5__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p5375__w1_0p45__typ,ok,
0.02,0.3,0.5375,typ,0.4,0.6,0.3345108837481389,0.5986746453872058,-0.00132535461279415,0.5763525402306057,0.572233413259231,0.9928531121425673,99,True,0.001970390755870045,0.1613602638244629,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_5_5__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p5375__w1_0p4__typ,ok,
0.02,0.2,0.5375,typ,0.5,0.5,0.1355258453667025,0.4992426299175282,-0.0007573700824718421,0.598094078988622,0.5964437043619811,0.9972406103243295,126,True,0.001943323997092652,0.2156398296356201,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_5_5__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p5375__w1_0p5__typ,ok,
