T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,sigma,kappa,kappa_bare,thermoelectric_correction,lorenz,L11,L12,L22,tau_min,tau_max,max_ImSigma_raw,max_ImSigma_thermal,n_causality_bad,n_causality_bad_thermal,solution_dir,status,error
0.02,0,0.05,typ,0.5,0.5,0.03376553691139006,0.4986670903237789,-0.001332909676221128,0.6354094950887158,0.635408286525458,0.9999980979773404,73,True,0.001985135853039514,16.64320687469065,1.153665830699531,1.154173296265513,0.0005074655659821945,3.465876015919481,16.64320687469065,-0.01299681068295114,0.02308346592531026,2.938375146581618e-11,141.7810935798988,0.2103754181773163,0.001468502392489579,105,31,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0__Delta_0p05__w1_0p5__typ,ok,
0.02,0.1,0.05,typ,0.5,0.5,0.08503880070918149,0.4989181583545322,-0.001081841645467763,0.6322086621699922,0.6322074389383434,0.9999980651456996,83,True,0.001992796841832168,24.2291851790945,1.643520436835609,1.643808744965749,0.0002883081301404025,3.39161309942374,24.2291851790945,-0.01181987400424411,0.03287617489931498,2.937178924468615e-11,403.4576974845945,0.2070058352812009,-0.003537814424223129,27,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p05__w1_0p5__typ,ok,
0.02,0.1,0.05,typ,0.45,0.55,0.1688765995360494,0.5547816628255382,0.004781662825538158,0.6278405165622201,0.6278254917740173,0.9999760691006609,72,True,0.001836846693944527,23.25339918359057,1.559650825177474,1.559831527086295,0.000180701908821005,3.353597495281651,23.25339918359057,-0.009167260898492652,0.0311966305417259,2.809364098033096e-11,173.4286471911407,0.2010980575787279,-0.003591930885500638,18,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p05__w1_0p45__typ,ok,
0.02,0.1,0.05,typ,0.4,0.6,0.2430909530754028,0.6043952157046637,0.004395215704663724,0.6195631188237918,0.6195225187671168,0.9999344698620021,96,True,0.001913799558552861,19.86451595844593,1.332556160553037,1.332802766114997,0.0002466055619605308,3.354111832728712,19.86451595844593,-0.009898181773443537,0.02665605532229995,2.701239666629327e-11,115.2176884126748,0.1909168385611799,-0.004344283440866514,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p1__Delta_0p05__w1_0p4__typ,ok,
0.02,0,0.05,typ,0.45,0.55,0.1144599908815729,0.5502129557071005,0.0002129557071004484,0.6316648768987069,0.6316513119076432,0.999978525019263,47,True,0.00198387346414826,22.42794848154226,1.465124083851186,1.486946641459306,0.02182255760811963,3.266290907206589,22.42794848154226,-0.09893787927486572,0.02973893282918611,2.821988046801422e-11,152.5243566541264,0.2056191103814239,0.001316293398819834,92,20,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0__Delta_0p05__w1_0p45__typ,ok,
0.02,0.3,0.05,typ,0.5,0.5,0.1849852090026257,0.5023411166565461,0.002341116656546127,0.6062816656314955,0.6062810831135996,0.9999990391959234,67,True,0.001843664565416566,3.275084983191105,0.215688504578455,0.2156885624431839,5.786472895130644e-08,3.292868821503025,3.275084983191105,-6.156490962307137e-05,0.004313771248863679,2.943177304675464e-11,59.50081131755795,0.1793769635895466,-0.0436029997911942,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p05__w1_0p5__typ,ok,
0.02,0.3,0.05,typ,0.45,0.55,0.2515663050515295,0.5495631036576063,-0.0004368963423937444,0.6028719330838465,0.6028638360732547,0.9999865692692802,58,True,0.001974333899515769,3.232069974927509,0.2129012358671718,0.2129136512254344,1.241535826261385e-05,3.293574048809801,3.232069974927509,-0.0008958493921252877,0.004258273024508688,2.824837888928271e-11,46.50838205841787,0.1706080221274295,-0.042792125957544,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p05__w1_0p45__typ,ok,
0.02,0,0.05,typ,0.4,0.6,0.1938686547108645,0.5994814586637833,-0.0005185413362166491,0.6236879957702949,0.6236488330090705,0.999937207768163,33,True,0.001912064619059653,39.75741422918104,2.923938428901999,2.974337316601595,0.05039888769959621,3.6772240921492,39.75741422918104,0.2001863858988829,0.0594867463320319,2.712967475781808e-11,295.8633284010895,0.1962930485472798,0.0003294638747985412,71,3,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0__Delta_0p05__w1_0p4__typ,ok,
0.02,0.3,0.05,typ,0.4,0.6,0.3323928158314893,0.6039010375483029,0.003901037548302955,0.5938042184157023,0.593776070057671,0.9999525965677603,98,True,0.001992729561121214,3.099578095105431,0.2041139750014657,0.2041754827089714,6.150770750568054e-05,3.292609005783461,3.099578095105431,-0.001952679916754199,0.004083509654179428,2.693390525099372e-11,13.23211311078772,0.1593302538530503,-0.04238260228550628,5,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p3__Delta_0p05__w1_0p4__typ,ok,
0.02,0.2,0.05,typ,0.4,0.6,0.2765937630236097,0.5993042692644911,-0.0006957307355088815,0.6114459839560366,0.6114139115755207,0.9999475466658423,36,True,0.001946792494485469,6.881668592214128,0.4543803653996075,0.4544580646210371,7.769922142962922e-05,3.301382210658112,6.881668592214128,-0.003270169083554458,0.009089161292420742,2.711632116658012e-11,25.06974411288987,0.1806878360151815,-0.01772884013464893,4,0,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_0_0__typ/dmft_solutions/T_0p02/U_0p2__Delta_0p05__w1_0p4__typ,ok,
