T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,runtime_dmft_sec,solution_dir,status,error
0.02,0,1.61,typ,0.5,0.5,0.003346111584491815,0.5038118430951359,0.003811843095135936,0.4778031845010516,0.3871381667269018,0.8102460998270089,18,True,0.001934533906674995,0.08204531669616699,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_16_16__typ/dmft_solutions/T_0p02/U_0__Delta_1p61__w1_0p5__typ,ok,
0.02,0,1.61,typ,0.45,0.55,0.1418568154551472,0.5502589525837965,0.0002589525837964901,0.4779559050456564,0.3822554827646539,0.7997714406899925,13,True,0.001965917256124833,0.07127785682678223,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_16_16__typ/dmft_solutions/T_0p02/U_0__Delta_1p61__w1_0p45__typ,ok,
0.02,0,1.61,typ,0.4,0.6,0.2516157406123949,0.5998457071301097,-0.0001542928698903268,0.4782433007027196,0.371256713550188,0.7762925544480643,23,True,0.001950391814269089,0.1052274703979492,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_16_16__typ/dmft_solutions/T_0p02/U_0__Delta_1p61__w1_0p4__typ,ok,
0.02,0.3,1.61,typ,0.5,0.5,0.1947487134696717,0.4967701135717832,-0.00322988642821681,0.468180935387031,0.4028735464804793,0.8605082266911103,2,True,0.001888991118409976,0.01265215873718262,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_16_16__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p61__w1_0p5__typ,ok,
0.02,0.3,1.61,typ,0.45,0.55,0.2927396687948642,0.548623288033396,-0.001376711966604049,0.4680771465959902,0.3973490696101897,0.8488965387433286,41,True,0.001918370411634103,0.2307071685791016,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_16_16__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p61__w1_0p45__typ,ok,
0.02,0.3,1.61,typ,0.4,0.6,0.1913022191996314,0.6034708282396004,0.003470828239600432,0.4685180417635039,0.4016819836467342,0.857345817750799,109,True,0.001934342648095942,0.5219352245330811,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_16_16__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p61__w1_0p4__typ,ok,
0.02,0.2,1.61,typ,0.5,0.5,0.122825401558691,0.4950594814349076,-0.004940518565092422,0.4732018098384145,0.3953142693116351,0.8354031220772891,1,True,0.001523916834270935,0.007497549057006836,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_16_16__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p61__w1_0p5__typ,ok,
0.02,0.2,1.61,typ,0.45,0.55,0.1689157276317836,0.5536805030975919,0.003680503097591825,0.4732480213331219,0.3938964754126517,0.832325667845499,35,True,0.001934900670533819,0.1460583209991455,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_16_16__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p61__w1_0p45__typ,ok,
0.02,0.2,1.61,typ,0.4,0.6,0.3439457667259866,0.5977049218405708,-0.002295078159429198,0.4733275655429404,0.3779581244478954,0.7985128100755141,83,True,0.001970728783734714,0.3568346500396729,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_16_16__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p61__w1_0p4__typ,ok,
0.02,0.1,1.61,typ,0.5,0.5,0.09544808807734742,0.5027152894265692,0.002715289426569178,0.4765982912715231,0.3889513295394965,0.8160988754319869,80,True,0.001973962609798607,0.3389737606048584,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_16_16__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p61__w1_0p5__typ,ok,
