T,U,Delta,kind,w1_nf,ne_target,mu,ne_actual,dne,A_arith_0,A_typ_0,R0_typ_over_arith,iterations,converged,diff,runtime_dmft_sec,solution_dir,status,error
0.02,0.1,1.1225,typ,0.5,0.5,0.0903951232124145,0.5028490747608042,0.002849074760804204,0.5373335632219304,0.5090322355483692,0.947330057880877,119,True,0.001987040400354984,0.3280625343322754,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p1225__w1_0p5__typ,ok,
0.02,0.1,1.1225,typ,0.45,0.55,0.1798219568662468,0.546688224261407,-0.003311775738593092,0.5364298402869644,0.5045158312594188,0.940506648529334,53,True,0.00197104769082186,0.2015254497528076,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p1225__w1_0p45__typ,ok,
0.02,0.1,1.1225,typ,0.4,0.6,0.2626791802315412,0.5955104891872487,-0.004489510812751285,0.5346660557690165,0.4958220223176485,0.9273489816077849,39,True,0.001959727988790369,0.1678783893585205,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p1__Delta_1p1225__w1_0p4__typ,ok,
0.02,0.2,1.1225,typ,0.5,0.5,0.1352873501502693,0.5009176420951743,0.0009176420951743092,0.5332120769334037,0.5088843051128641,0.9543750547428467,81,True,0.001878350040956918,0.2948622703552246,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p1225__w1_0p5__typ,ok,
0.02,0.2,1.1225,typ,0.45,0.55,0.2175620222731386,0.5512940982040569,0.001294098204056904,0.5323153944546138,0.5048969408007469,0.9484920895779114,25,True,0.001954656738212609,0.1106574535369873,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p1225__w1_0p45__typ,ok,
0.02,0.2,1.1225,typ,0.4,0.6,0.2997458567746105,0.6007994893892162,0.0007994893892162569,0.5303627867848248,0.4961002017369242,0.9353978335176796,55,True,0.001974643767484349,0.235476016998291,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p2__Delta_1p1225__w1_0p4__typ,ok,
0.02,0.3,1.1225,typ,0.5,0.5,0.1900467825407186,0.4967157928831312,-0.003284207116868776,0.5265591347801736,0.5076483252946825,0.9640860670029285,21,True,0.001946020512259755,0.08677983283996582,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p1225__w1_0p5__typ,ok,
0.02,0.3,1.1225,typ,0.45,0.55,0.2610653253632323,0.5457125164887311,-0.004287483511268952,0.525580882961346,0.5039013815061466,0.9587513508234017,29,True,0.001924383147456683,0.126568078994751,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p1225__w1_0p45__typ,ok,
0.02,0.3,1.1225,typ,0.4,0.6,0.3465912922227705,0.599748022811079,-0.0002519771889210043,0.5230876972227841,0.4943010039031302,0.9449677492464641,90,True,0.001906205049991518,0.3893468379974365,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p3__Delta_1p1225__w1_0p4__typ,ok,
0.02,0,1.1225,typ,0.5,0.5,0.04925672201315241,0.503424637573713,0.00342463757371303,0.5387096557158971,0.5088292534739195,0.944533382825171,66,True,0.001988549881722121,0.2667818069458008,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0__Delta_1p1225__w1_0p5__typ,ok,
0.02,0,1.1225,typ,0.45,0.55,0.1471955218314781,0.5465036803188172,-0.003496319681182802,0.5376918621214865,0.5035323012250094,0.9364700057730109,9,True,0.001987081580184771,0.041229248046875,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0__Delta_1p1225__w1_0p45__typ,ok,
0.02,0,1.1225,typ,0.4,0.6,0.2441943128820002,0.5972999868841619,-0.002700013115838118,0.5356026340575653,0.4928717848513521,0.9202191205026439,19,True,0.001939321066841619,0.06327986717224121,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0__Delta_1p1225__w1_0p4__typ,ok,
0.02,0.4,1.1225,typ,0.5,0.5,0.2197017187771975,0.4964443924881776,-0.003555607511822378,0.5178154810182152,0.5050730694414692,0.9753919841259097,48,True,0.001930002095149212,0.2162966728210449,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p4__Delta_1p1225__w1_0p5__typ,ok,
0.02,0.4,1.1225,typ,0.45,0.55,0.3110053297615684,0.545534468218778,-0.004465531781221999,0.5164221330483368,0.5007382564039317,0.9696297357515907,8,True,0.001949374825805338,0.04944515228271484,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p4__Delta_1p1225__w1_0p45__typ,ok,
0.02,0.4,1.1225,typ,0.4,0.6,0.3998780483090043,0.5969318280580161,-0.003068171941983833,0.5130455054278189,0.4900479163574487,0.9551743679126611,30,True,0.001965531586972177,0.131716251373291,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p4__Delta_1p1225__w1_0p4__typ,ok,
0.02,0.6000000000000001,1.1225,typ,0.5,0.5,0.3328702231578344,0.4964908758539799,-0.003509124146020115,0.4940096700940209,0.4905963472325902,0.9930905748043736,1,True,0.00189647985805618,0.008747577667236328,/home/2/kj405942/Byczuk_Freericks/filling_variantB_freericks/pbs_variantB_T002_typ_21x21_mu20/chunks/T_0p02__Didx_11_11__typ/dmft_solutions/T_0p02/U_0p6__Delta_1p1225__w1_0p5__typ,ok,
